"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"ams AG","0.14","EQUITY","AMS","Mid Growth","2013-03-31","105681","-10485","Technology","6857845","68.9","-1.1|-1.57%","69.5-68.3","527908","77.75-28.3","Austria","8.16","117.35","33.92","35.15","4550.48","CHF","3","139.53","104.66","-","-","-"
"Metro Bank PLC","0.14","EQUITY","MTRO","Mid Growth","2016-10-31","146305","5263","Financial Services","6838358","3729","-43|-1.14%","3763-3654","541239","3872-1960.6","United Kingdom","5.67","79.28","-","-","3297.39","GBX","-","27.49","642.93","-","-","-"
"West Fraser Timber Co.Ltd","0.14","EQUITY","WFT","Mid Core","2009-07-31","144291","37238","Basic Materials","6829566","66.8","0.96|1.46%","67.04-65.27","355846","67.16-38.18","Canada","9.02","48.44","9.93","20.61","5373.99","CAD","2","39.43","11.56","-","-","-"
"NIBE Industrier AB B","0.14","EQUITY","NIBE B","Mid Growth","2016-10-31","722494","230404","Basic Materials","6824524","77.8","-1.5|-1.89%","79-77.75","540921","90.3-61.75","Sweden","0.23","12.25","21.6","29.22","43813.01","SEK","-","9.58","25.26","-","-","-"
"BTG PLC","0.14","EQUITY","BTG","Mid Growth","2009-07-31","748266","27154","Healthcare","6800436","652.5","-5.5|-0.84%","661-647","444427","738.5-528.36","United Kingdom","-4.11","-0.08","3.15","11.61","2520.19","GBX","-","10.59","75.87","-","-","-"
"Subsea 7 SA","0.14","EQUITY","SUBC","Mid Value","2016-03-31","501820","-19078","Energy","6766260","117.4","-1.1|-0.93%","119.1-115.1","1786459","147.6-77.7","United Kingdom","-17.32","35.92","5.41","0.69","38252.93","NOK","3","11.99","11.8","-","-","-"
"B&M European Value Retail SA","0.14","EQUITY","BME","Mid Growth","2016-09-30","1531710","259243","Consumer Defensive","6762380","359.4","-0.6|-0.17%","359.8-356.1","2454030","372.2-218.4","United Kingdom","7.8","40.14","11.24","-","3594","GBX","-","30.68","25.13","-","-","-"
"BB Biotech AG Ord","0.14","MUTUAL FUND - CLOSED END","BION","-","-","109915","4365","-","6746818","60.4","-","60.7-59.4","113419","61-52.05","Switzerland","7.52","25.28","21.83","27.31","-","CHF","5","23.43","-","-","-","-"
"Elekta AB B","0.13","EQUITY","EKTA B","Mid Growth","2015-09-30","709072","49632","Healthcare","6710474","78.2","-1.55|-1.94%","79.75-78.05","1818148","95.9-65.3","Sweden","-15.41","15.31","-0.87","1.28","29874.51","SEK","4","-2.67","279.29","-","-","-"
"Vermilion Energy Inc","0.13","EQUITY","VET","Mid Value","2010-12-31","210348","7584","Energy","6673131","41.79","-0.52|-1.23%","42.72-41.59","347807","58.98-38.6","Canada","-11.7","2.78","-11.61","2.87","5064.95","CAD","-","-23.36","67.4","-","-","-"
"TP ICap PLC","0.13","EQUITY","TCAP","Mid Value","2009-07-31","1076669","39384","Financial Services","6551877","481.6","-8.6|-1.75%","489.8-479.8","1427105","497.5-323.22","United Kingdom","5.13","51","30.58","16.92","2668.7","GBX","-","11.15","28","-","-","-"
