"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Makita Corp","0.71","EQUITY","6586","Large Growth","2013-06-30","1739400","28000","Industrials","61003840","4315","10|0.23%","4345-4295","481600","4410-3480","Japan","8.55","20.34","13.05","28.1","1168637.75","JPY","-","11.2","52.18","-","-","-"
"Telefonica SA","0.71","EQUITY","TEF","Large Core","2016-09-30","5419820","0","Communication Services","60666020","9.61","-0.01|-0.07%","9.72-9.58","4169900","10.63-7.61","Spain","-3.28","16.23","-1.29","6.33","48473.76","EUR","4","11.36","19.64","-","-","-"
"Banco Santander SA","0.7","EQUITY","SAN","Large Value","2012-09-30","9848652","1925952","Financial Services","60286855","5.83","0.03|0.5%","5.84-5.78","68134766","6.25-3.4","Spain","-1.5","63.13","-3.83","10.66","85991.62","EUR","-","21.13","12.61","-","-","-"
"Vinci SA","0.69","EQUITY","DG","Large Core","2015-06-30","750378","12099","Industrials","59586677","75.98","0.65|0.86%","76.11-75.17","357756","80.43-49.93","France","-3.55","15.43","15.52","19.73","41735.05","EUR","3","18.7","16.81","-","-","-"
"Bank Negara Indonesia (Persero) Tbk Class B","0.68","EQUITY","BBNI","Large Core","2017-03-31","119284300","119284300","Financial Services","57993184","-","-","-","-","-","-","15.29","40.05","15.36","15.79","137067632","IDR","-","36.88","10.21","-","-","-"
"BHP Billiton Ltd","0.66","EQUITY","BHP","Large Core","2009-06-30","3134036","50531","Basic Materials","56996132","25.85","0.52|2.05%","26.05-25.64","8274611","27.95-19.09","Australia","8.98","37.68","-5.26","2.61","137585.16","AUD","2","6.18","43.57","-","-","-"
"Nokia Oyj","0.66","EQUITY","NOKIA","Large Growth","2015-12-31","10546558","0","Technology","56686269","5.42","0.03|0.56%","5.43-5.37","6700373","5.95-3.66","Finland","3","4.8","-1.35","28.81","31457.48","EUR","3","17.86","-","-","-","-"
"Aon PLC","0.65","EQUITY","AON","Large Growth","2015-09-30","471255","7600","Financial Services","55933256","138.67","3.12|2.3%","138.95-135.86","1047101","141.3-105.35","United States","16.01","26.9","17.74","23.91","36341.25","USD","2","25.28","27.73","-","-","-"
"Tesco PLC","0.65","EQUITY","TSCO","Large Value","2015-09-30","24017376","0","Consumer Defensive","55897748","174.5","1.2|0.69%","174.7-172.6","2778235","219.4-153","United Kingdom","-5.43","10.95","-13.39","-8.67","14190.93","GBX","2","-16.22","213.95","-","-","-"
"DeNA Co Ltd","0.65","EQUITY","2432","Mid Growth","2014-03-31","2726500","0","Technology","55506229","2425","-8|-0.33%","2437-2408","1632900","3955-2204","Japan","1.59","-7.21","22.9","8.68","353000.78","JPY","-","-3.8","11.47","-","-","-"
"SK Hynix Inc","0.64","EQUITY","000660","Large Value","2015-09-30","1222581","-640482","Technology","55220311","66000","1400|2.17%","66000-63700","4769724","73000-32900","South Korea","22.22","93.6","14.04","25.44","45607716","KRW","-","47.65","11.12","-","-","-"
